Airport_code,Page_Rank
ORD,46.669346297144806
DEN,42.667381859756595
ATL,36.891675546845136
ANC,31.23349286672485
LAS,29.31092247681138
LAX,28.86042917880251
DFW,28.34102921839727
IAH,27.730059372218104
PHX,26.21953655650717
BET,25.16869733173391
MSP,24.930617313591714
MCO,24.696402511739198
EWR,24.54686742013629
MIA,23.854652576215276
SEA,23.13970055198778
CLT,22.864072537447292
DTW,21.354917140904323
FAI,20.247444670554128
PHL,19.53691820926416
SLC,18.328515476141245
MEM,17.838466238852103
SFO,17.494947133331177
FLL,17.41234822219128
TPA,17.411231479376465
SDF,16.955077688177408
IAD,16.930973194204245
BOS,15.976006503905946
BNA,15.654946305038864
JFK,15.0391592266699
AUS,14.549157138000627
CVG,14.54139030117991
WFB,14.011536199256666
PDX,13.679564017450673
IND,13.654945763397656
BWI,13.512654558331716
DCA,13.383656986293346
SAN,10.790674915185859
MSY,10.756770258178149
STL,10.621497733836142
LGA,10.465940015413242
RSW,10.42025492139767
RDU,10.010574161261193
OME,9.833661391649303
MDW,9.761935403486437
DAL,9.578173258666855
OAK,8.915651234376758
OTZ,8.899233572344555
SAT,8.69920475051167
A43,8.674322270920126
PIT,8.49911511921331
MCI,8.484872483075453
ONT,8.438076253366264
HOU,8.292925987921617
CLE,7.926324391241734
HNL,7.74417911920093
CMH,7.536541585630295
SJC,7.483654265321168
MKE,7.314744164098998
SMF,7.278886893196734
JNU,7.102882001735911
SJU,6.946164399729973
PBI,6.642085982457037
JAX,6.217521317641913
SRQ,6.104557895866525
ADQ,5.812536434998249
SNA,5.522744251085887
RNO,5.443641706418214
AKN,5.405491318563223
BDL,5.394834736320717
RIC,5.220267719748617
CHS,5.077388579224136
BUF,4.882389388608438
OKC,4.874694380884907
OMA,4.83091364802122
SFB,4.785858525266652
ELP,4.785217852745812
BOI,4.763673376611528
ANI,4.537587005588086
OGG,4.443511466283467
GRR,4.414019023738604
HPN,4.3891564807993255
GAL,4.3768333894146005
ABQ,4.373342357466687
KSM,4.3334941226128345
DLG,4.217436368032661
UNK,4.213611286889413
DSM,4.188028874116686
ORF,4.142917341776946
BUR,4.140381903249506
GEG,4.070319017279718
TUS,4.065003002384105
TUL,4.023959444976075
EMK,3.9885873392592863
PSP,3.956760555192695
AZA,3.954928207233891
VNY,3.9083683648492946
BZN,3.888981789664737
SYR,3.8855143075798186
PVD,3.820748486094428
PIE,3.7501085619405576
GSO,3.6965266819718607
KOA,3.5658797215395936
TYS,3.4802156835649605
GSP,3.4644882529097325
BHM,3.3684729314362087
YIP,3.1990729926147745
DUT,3.192442441456049
SCC,3.1720451984045157
BLD,3.170467388178934
MSN,3.1665300076417457
TEB,3.051192712766821
LGB,2.9799224496814647
AFW,2.9495367113265423
RFD,2.9303366457174236
SAV,2.883457667925195
MRI,2.8463152876193023
ALB,2.804613397339134
ACY,2.767166092595179
GPT,2.751608534053197
HSL,2.735849818444979
LIT,2.7324575056967118
COS,2.70801776852654
MDT,2.6776909800470046
ICT,2.627970943383216
XNA,2.6098636151401418
FAT,2.496880118876002
SIT,2.4733008702179777
HOM,2.4544049046190555
ROC,2.4375942779560393
CDB,2.3795918851198588
FYU,2.3681891806488196
MYR,2.3547695208069515
MLL,2.3417478746806712
ALZ,2.3276769488316216
CID,2.301447466213325
IFP,2.2828103688636054
PGD,2.2804072722087003
FSD,2.2082366853911064
BRW,2.1714796149786704
RBY,2.1659287907519116
LKE,2.1553067509973975
PQS,2.1527250077560924
HRL,2.116431397792757
FAR,2.1129911882235373
OOK,2.1058354214835973
KKB,2.1018972523203634
LRD,2.078975883509934
LBB,2.070199306478674
AKP,2.053749272182358
SBA,2.052621870707538
SBN,2.0474284331345642
PNS,2.0341484759852797
CAE,1.9952186514217478
KWN,1.9913276280284942
ENA,1.9868188939689162
BID,1.9696577244034263
WST,1.9696577244034263
SSB,1.9696577244034263
SPB,1.9696577244034263
PHO,1.963956064600728
LIH,1.9481420091930706
STT,1.9476295560414767
WTL,1.902282143633497
HSV,1.871808528743597
RDB,1.8541549714911598
OPF,1.8491244699770637
EYW,1.8386528793510433
1G4,1.8276714712872548
TNK,1.8148089346198597
ATT,1.7991302075534112
ORV,1.7976214721217494
SHG,1.787871647336303
PWM,1.7874906215449438
LEX,1.7777628226707207
NUL,1.7683885715355405
KCC,1.7575359547767866
WWP,1.7481085202554156
DGB,1.7386014546976056
TLH,1.7371996204108577
SPN,1.7367731738085093
MHT,1.715985845065721
AEX,1.7141703124211776
WTK,1.7118634851797994
KOT,1.7032273352236884
RSH,1.7000583761226238
EUG,1.6996439512485833
AUK,1.6918264056234775
KTN,1.686449224784737
BED,1.6751975869273914
SGF,1.6633101157775771
KKH,1.642670064966714
NUP,1.6280856581496341
FWA,1.592197693414839
KUK,1.589371277622609
HYG,1.583714010810317
KPN,1.5804837271126226
VEE,1.5758195543612965
EEK,1.56880789507989
SHV,1.5599830880554832
MCG,1.5477497911565883
AOS,1.5465288941539637
KZB,1.5465288941539637
SCM,1.5389581617119226
PPV,1.5137975072931502
KAL,1.501045762195652
AVL,1.4976521746294957
BTR,1.4861293147020147
MAF,1.4783401049245386
HDN,1.4762093270445626
BIL,1.4751183167672905
DOF,1.4645739677849263
ABL,1.4527005381544478
RDM,1.4354592659378487
MOU,1.4326899966503277
DAY,1.4182589762729674
ASE,1.418162826726096
CYF,1.4111449729783239
MFR,1.411035449698319
WLK,1.4106589957114595
ABE,1.4034387178624357
