ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK",040,1
09A,"Homer, AK",ADQ,"Kodiak, AK",079,1
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV",485,1
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV",416,1
1NY,"Penn Yan, NY",HPN,"White Plains, NY",479,1
1TX,"Dumas, TX",PHX,"Phoenix, AZ",674,1
2AK,"Deer Park, AK",PTD,"Port Alexander, AK",033,1
2NC,"Asheboro, NC",MXE,"Maxton, NC",648,1
2TX,"Brenham, TX",T4X,"Llano, TX",685,1
7AK,"Akun, AK",CDB,"Cold Bay, AK",406,1
7AK,"Akun, AK",DUT,"Unalaska, AK",406,1
7AK,"Akun, AK",DUT,"Unalaska, AK",194,1
7AK,"Akun, AK",KQA,"Akutan, AK",364,1
7AK,"Akun, AK",ANC,"Anchorage, AK",405,1
7AK,"Akun, AK",STG,"St. George Island, AK",406,1
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK",395,1
A20,"Alpine, AK",SCC,"Deadhorse, AK",556,1
A20,"Alpine, AK",ANC,"Anchorage, AK",556,1
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK",194,1
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK",040,1
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK",040,1
A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK",040,1
A43,"Kodiak Island, AK",UGI,"Uganik, AK",040,1
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK",040,1
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK",040,1
A43,"Kodiak Island, AK",EHR,"Eagle Harbor, AK",040,1
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK",040,1
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK",040,1
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK",040,1
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK",040,1
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK",040,1
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI",638,1
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",638,1
ABE,"Allentown/Bethlehem/Easton, PA",HPN,"White Plains, NY",638,1
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI",631,1
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",631,1
ABE,"Allentown/Bethlehem/Easton, PA",LAL,"Lakeland, FL",625,1
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL",629,1
ABE,"Allentown/Bethlehem/Easton, PA",IAD,"Washington, DC",629,1
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL",675,1
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI",638,1
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI",691,1
ABE,"Allentown/Bethlehem/Easton, PA",MDT,"Harrisburg, PA",691,1
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN",691,1
ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN",691,1
ABE,"Allentown/Bethlehem/Easton, PA",PIT,"Pittsburgh, PA",691,1
ABE,"Allentown/Bethlehem/Easton, PA",LCK,"Columbus, OH",691,1
ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL",694,1
ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN",694,1
ABE,"Allentown/Bethlehem/Easton, PA",PIE,"St. Petersburg, FL",694,1
ABE,"Allentown/Bethlehem/Easton, PA",FLL,"Fort Lauderdale, FL",694,1
ABE,"Allentown/Bethlehem/Easton, PA",SRQ,"Sarasota/Bradenton, FL",694,1
ABE,"Allentown/Bethlehem/Easton, PA",PGD,"Punta Gorda, FL",694,1
ABE,"Allentown/Bethlehem/Easton, PA",MSP,"Minneapolis, MN",614,1
ABE,"Allentown/Bethlehem/Easton, PA",LAL,"Lakeland, FL",614,1
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL",675,1
ABE,"Allentown/Bethlehem/Easton, PA",TLH,"Tallahassee, FL",694,1
ABE,"Allentown/Bethlehem/Easton, PA",BZN,"Bozeman, MT",694,1
ABE,"Allentown/Bethlehem/Easton, PA",CVG,"Cincinnati, OH",626,1
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH",626,1
ABE,"Allentown/Bethlehem/Easton, PA",AFW,"Dallas/Fort Worth, TX",626,1
ABE,"Allentown/Bethlehem/Easton, PA",SMF,"Sacramento, CA",625,1
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH",625,1
ABE,"Allentown/Bethlehem/Easton, PA",SBD,"San Bernardino, CA",625,1
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC",638,1
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC",631,1
ABI,"Abilene, TX",DEN,"Denver, CO",617,1
ABI,"Abilene, TX",HRL,"Harlingen/San Benito, TX",619,1
ABI,"Abilene, TX",LBB,"Lubbock, TX",416,1
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX",675,1
ABI,"Abilene, TX",GRK,"Killeen, TX",673,1
ABL,"Ambler, AK",SHG,"Shungnak, AK",415,1
ABL,"Ambler, AK",OTZ,"Kotzebue, AK",415,1
ABL,"Ambler, AK",OBU,"Kobuk, AK",415,1
ABL,"Ambler, AK",ORV,"Noorvik, AK",415,1
ABL,"Ambler, AK",OTZ,"Kotzebue, AK",194,1
ABL,"Ambler, AK",OBU,"Kobuk, AK",194,1
ABL,"Ambler, AK",OTZ,"Kotzebue, AK",415,1
ABL,"Ambler, AK",RDB,"Red Dog, AK",415,1
ABL,"Ambler, AK",WLK,"Selawik, AK",415,1
ABL,"Ambler, AK",RDB,"Red Dog, AK",194,1
ABL,"Ambler, AK",SHG,"Shungnak, AK",412,1
ABL,"Ambler, AK",OTZ,"Kotzebue, AK",412,1
ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM",458,1
ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",458,1
ABQ,"Albuquerque, NM",FMN,"Farmington, NM",416,1
ABQ,"Albuquerque, NM",GUP,"Gallup, NM",416,1
ABQ,"Albuquerque, NM",DRO,"Durango, CO",416,1
ABQ,"Albuquerque, NM",SEA,"Seattle, WA",614,1
ABQ,"Albuquerque, NM",SEA,"Seattle, WA",888,1
